id,label
1,happy
2,happy
3,happy
4,happy
5,neural
6,neural
7,happy
8,happy
9,happy
10,sad
11,angry
12,happy
13,angry
14,angry
15,happy
16,angry
17,sad
18,sad
19,surprise
20,happy
21,angry
22,happy
23,sad
24,neural
25,neural
26,angry
27,angry
28,happy
29,sad
30,happy
31,sad
32,neural
33,happy
34,happy
35,happy
36,sad
37,angry
38,surprise
39,happy
40,angry
41,neural
42,neural
43,happy
44,sad
45,sad
46,happy
47,neural
48,happy
49,angry
50,angry
51,neural
52,angry
53,surprise
54,neural
55,happy
56,angry
57,angry
58,neural
59,angry
60,happy
61,happy
62,happy
63,neural
64,fear
65,angry
66,happy
67,sad
68,angry
69,neural
70,happy
71,happy
72,angry
73,angry
74,neural
75,neural
76,angry
77,happy
78,happy
79,happy
80,happy
81,neural
82,angry
83,neural
84,surprise
85,neural
86,angry
87,neural
88,surprise
89,neural
90,neural
91,happy
92,neural
93,happy
94,neural
95,happy
96,neural
97,happy
98,neural
99,angry
100,sad
101,sad
102,angry
103,happy
104,happy
105,neural
106,happy
107,sad
108,happy
109,happy
110,angry
111,angry
112,neural
113,happy
114,happy
115,angry
116,happy
117,neural
118,neural
119,sad
120,angry
121,happy
122,happy
123,happy
124,happy
125,neural
126,angry
127,happy
128,happy
129,happy
130,angry
131,angry
132,happy
133,happy
134,angry
135,neural
136,neural
137,happy
138,surprise
139,happy
140,angry
141,neural
142,happy
143,angry
144,neural
145,angry
146,sad
147,neural
148,angry
149,neural
150,happy
151,surprise
152,happy
153,neural
154,angry
155,neural
156,neural
157,happy
158,angry
159,angry
160,angry
161,angry
162,neural
163,neural
164,sad
165,surprise
166,angry
167,neural
168,neural
169,surprise
170,angry
171,happy
172,happy
173,happy
174,neural
175,neural
176,angry
177,sad
178,happy
179,happy
180,happy
181,neural
182,happy
183,happy
184,sad
185,angry
186,sad
187,happy
188,happy
189,surprise
190,angry
191,sad
192,sad
193,happy
194,happy
195,sad
196,happy
197,happy
198,surprise
199,sad
200,angry
201,sad
202,surprise
203,angry
204,neural
205,happy
206,happy
207,surprise
208,happy
209,angry
210,happy
211,neural
212,surprise
213,happy
214,surprise
215,sad
216,neural
217,neural
218,happy
219,angry
220,happy
221,neural
222,sad
223,neural
224,neural
225,happy
226,sad
227,neural
228,sad
229,happy
230,angry
231,sad
232,happy
233,happy
234,sad
235,happy
236,angry
237,happy
238,happy
239,happy
240,happy
241,angry
242,neural
243,angry
244,angry
245,happy
246,happy
247,angry
