id,label
1,happy
2,happy
3,neural
4,angry
5,neural
6,surprise
7,sad
8,happy
9,happy
10,happy
11,happy
12,neural
13,angry
14,sad
15,surprise
16,happy
17,happy
18,angry
19,angry
20,happy
21,happy
22,angry
23,fear
24,happy
25,sad
26,fear
27,angry
28,happy
29,happy
30,happy
31,happy
32,neural
33,neural
34,happy
35,neural
36,happy
37,happy
38,angry
39,happy
40,happy
41,angry
42,happy
43,neural
44,happy
45,neural
46,happy
47,happy
48,angry
49,fear
50,neural
51,happy
52,angry
53,happy
54,happy
55,angry
56,happy
57,happy
58,happy
59,neural
60,neural
61,angry
62,angry
63,happy
64,happy
65,happy
66,happy
67,angry
68,happy
69,happy
70,angry
71,angry
72,happy
73,happy
74,neural
75,neural
76,happy
77,angry
78,happy
79,neural
80,neural
81,sad
82,happy
83,happy
84,neural
85,angry
86,sad
87,surprise
88,happy
89,neural
90,neural
91,angry
92,happy
93,angry
94,neural
95,neural
96,angry
97,happy
98,neural
99,fear
100,neural
101,neural
102,angry
103,neural
104,neural
105,angry
106,happy
107,happy
108,neural
109,neural
110,neural
111,happy
112,angry
113,happy
114,fear
115,angry
116,happy
117,neural
118,sad
119,angry
120,sad
121,happy
122,surprise
123,neural
124,happy
125,neural
126,surprise
127,angry
128,fear
129,happy
130,sad
131,neural
132,neural
133,happy
134,sad
135,neural
136,neural
137,neural
138,neural
139,happy
140,neural
141,happy
142,neural
143,happy
144,happy
145,happy
146,happy
147,neural
148,happy
149,happy
150,angry
151,angry
152,neural
153,neural
154,neural
155,happy
156,neural
157,neural
158,neural
159,happy
160,happy
161,happy
162,neural
163,sad
164,neural
165,neural
166,happy
167,neural
168,angry
169,surprise
170,neural
171,happy
172,happy
173,happy
174,neural
175,happy
176,sad
177,neural
178,happy
179,happy
180,neural
181,neural
182,angry
183,happy
184,angry
185,sad
186,neural
187,angry
188,happy
189,happy
190,happy
191,neural
192,happy
193,happy
194,angry
195,neural
196,happy
197,happy
198,neural
199,neural
200,angry
201,neural
202,angry
203,happy
204,sad
205,angry
206,angry
207,neural
208,happy
209,happy
210,happy
211,angry
212,happy
213,happy
214,neural
215,angry
216,angry
217,fear
218,happy
219,happy
220,neural
221,sad
222,angry
223,happy
224,sad
225,angry
226,sad
227,happy
228,happy
229,surprise
230,angry
231,sad
232,angry
233,sad
234,angry
235,neural
236,neural
237,happy
238,happy
239,neural
240,angry
241,happy
242,neural
243,sad
244,happy
245,neural
246,neural
247,neural
248,angry
249,angry
